Brand,Insight,Count,Sentiment_Type
Sting,dám nghĩ,19,Positive
Sting,dám làm,19,Positive
Sting,nghĩ dám,18,Positive
Sting,sting thế,13,Positive
Sting,thế hệ,13,Positive
Sting,quảng cáo,6,Negative
Sting,tài tài,4,Negative
Sting,nhưng từ,2,Negative
Sting,cáo này,2,Negative
Sting,tài lộc,2,Negative
Sting,dám làm,5,Neutral
Sting,nghĩ dám,3,Neutral
Sting,hồng sâm,3,Neutral
Sting,dám nghĩ,2,Neutral
Sting,làm hieuthuhai,2,Neutral
Wakeup,kết hợp,5,Positive
Wakeup,wakeup 247,4,Positive
Wakeup,sản phẩm,3,Positive
Wakeup,247 kết,3,Positive
Wakeup,hợp cùng,3,Positive
Wakeup,quảng cáo,15,Negative
Wakeup,đập tan,4,Negative
Wakeup,tan lờ,4,Negative
Wakeup,lờ đờ,4,Negative
Wakeup,đờ uể,4,Negative
Wakeup,cà phê,10,Neutral
Wakeup,wakeup 247,4,Neutral
Wakeup,hạt siêu,4,Neutral
Wakeup,siêu cà,4,Neutral
Wakeup,trình haaland,3,Neutral